Inventory Report,,,,,,,,,,
"Inventory Report on Oct 09, 2025 at 03:23 PM EDT",,,,,,,,,,
"Locations: Watertown, PHF Lake Geneva",,,,,,,,,,
"Category Filter: Wholesale, Real Payment Gift Card, All Herbal, Supplements Misc., Services, PHF Supplements, Farmer's Market Items, Jewelry, Clothing, Cleaning Products, Tallow, Candles, Seasonal, Soaps, Snacks and Treats, Cooking, Cosmetics and Toiletries, Purses/Handbags, House Decor, Meat, Coffee Tea, MakeUp, Skin Care, Toiletries, Drinks, Herbal, Kombucha, Misc Drinks, Lotions, Perfumes, Pets, Deodorant, Juice, Health Misc, Cards, EOils, Books, Magnesium, Mushroom, Uncategorized",,,,,,,,,,
"Vendor Filter: Brick House Mercantile, Reliance, Ortho Molecular, Full Script, DesBio, CellCore, Urban Moonshine, BioRay, Touch Stone Essentials/The Good Inside, BioSpectrum, OWLS, Frannie's Market, Concord Honey, American Extractions, Kurativ, Kind Oasis, Simply Earth, CoFix Rx, Faire, Delete When Gone, Redmond Real Salt, Micro Balance Health Products, Rinse Bath Body Inc, Recess, Out of Stock, BDivine, Peter Pauper Press, SpaLife, Burgies Berry Farm, Wavertree & London, Lady May Tallow, Barn 1912 Tallow Company, Barnyard Bison, Mickelberry Gardens, Bergum Family Syrup, Berkley Green, Lindo, Mad Hippie, Love Infusion Foods, Liss & Landi, Custom Kismet, AllWellO, Taylor's Naturals, Oral Fitness Inc Dale Audrey RDH, Moss Creek Wool Works, Manifest Wellness, Chazah Creations LLC, Dandelion Naturals, Credo Designs LTD, Biotics Research, Kelly's Green, Handmade la conner, Dapper Dog Provisions, Davids Natural Toothpaste, Drinkin Buds Hemp LLC, Earth Harbor Naturals, Heart and Honey Elderberry Syrup, Alitasa, Elyxr LA, EMF Solutions, FaceTory, Natures Sunshine, Aunt Fannie's, Forever Minerals Makeup, Frutina, Good Earth Soap, Elemental Bread Sourdough, Hibo Gut-Healthy Energy, Huppy, Hiyo, Holley's Honey, Honey Acres, Honeybee Gard Nat Cos & Body Care, Tipsy Coasters & Gifts, No Tox Life, Hadley Wren, Marley's Monsters, Shannon Martin Designs, Honeywild Apothecary, Jaeger Farms, Crimson Kitchen and Garden, Just Add Wine Candle Co., Katie's Naturals, Ketchup Please, Knockaround, Lifeboost Coffee, Moira Cosmetics, Amazon, Maroma USA, Dancing Flower Beverage Comp., Microgreen Harvest, Mineral and Company, NATPAT, NuGo Nutrition, The Oatball Company, Old Soul Soap Company Inc, Oak & Elizabeth, Poofy Organics, Poshi, Present Not Perfect, Pure Love Essences, HalalEveryDay, Silver Wear, Simply Gum, Sky and Sol, ToGo Spa, Urbal Tea, Capital Husting, The Wholesome Baker, Yellow Heart Sisters, Flagged, Pine Hill Farm, Unknown, FarmCat Wellness, Abdallah Chocolate, The Wellness Company, Pacific Roots, Soaps & Beyond, Two Leaves and a Bud, PennyLine, What Calls the Heart, ODIN Wine, Modern and Chic, Jory, Fame Accessories, Tiny Gift Society, Kentucky Moon Designs, Letto, Loveyenergy & Blessings, Ethereal Clay, That's Sew Me, Sogo Snacks, Wholesalesir, Treasure Wholesale, Lorraine Oerth Co, Etsy, Apothecary Products LLC, The Winding Road, Primatives by Kathy, Himalayan Secrets, SHOPGIVECOURAGE, Mio Queena, BroadStreet Publishing Group, Lissi Designs, Manuka Lane, Zoey Simmons, Tabal Chocolate, Forage Kombucha, The Light Garden, June Jurcak Watercolor Cards, Koochikoo, Simply Honest Co., Venture Imports LLC, Clay and Trinkets, Sugarhouse Leather, Suarhouse Leather, Faiza Naturals, Faber-Castell Creativity for Kids, Handee Products, DM Merchandising, The Wristlet Bar, Bonair Daydreams, Felicity Jewelry Designs, April Cornell, 22 Tote, Chloe & Lex, Pan's Mushroom Jerky, Salt Sisters, Scattered slime, Sockprints, Outwash Acres, Jewelry Junkie, Alison Brooke Designs, Bamboo Switch, New Market Farmhouse, Maggie's Farm & Aromatics, Casa Kira, Fashion City, Lily Clothing, Sunset Vista Designs, Howells Wood Products, Sincere Surroundings, Love and Repeat, Puckator Ltd, Avery Lane Gifts, Karmelize.Me, Roma Leathers, Inc, India Handicrafts Inc, KatKards, Shirley Janes, Kathy Troher, Twisted Tomboy, Bstock, Elemental Superfood, SaidoniaEco, Eastern Ave Studio, Shoes Brew, Puracy, Rich Nuts, WorldFinds, Bark & Whiskers, Jennifer Dahl Designs, semper suds, Hipster Row, Mira Fair Trade, Mycoterra Farms, Seattle Silver Cashmere, PHF Collective Wellness, Seasideblooms",,,,,,,,,,
Active products only,,,,,,,,,,
In stock products only,,,,,,,,,,
,,,,,,,,,,
Product,Variant,Location,Categories,Vendors,SKU,Barcode,In Stock,List Price,Cost/unit,Total Value
ForMin Crushed Eyeshadow,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77169E+11,,11,22,12.95,142.45
ForMin Crushed Foundation,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77166E+11,,1,30,17.15,17.15
ForMin Eyeliner Automatic,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",027742883333,,4,16,9.45,37.8
ForMin Eyeliner Wood,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77165E+11,,5,14,8.05,40.25
ForMin Foundation Primer,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77161E+11,,6,44,26.6,159.6
ForMin Glow Finishing Powder,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77166E+11,,1,30,17.3,17.3
ForMin Lip Buffer,,Watertown,Wholesale,"Forever Minerals Makeup, Delete When Gone, PHF Collective Wellness",1.77166E+11,,4,18,10.5,42
ForMin Lip Satin,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77169E+11,,2,18,10.5,21
ForMin Lipstick,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77162E+11,,3,20,11.55,34.65
ForMin Liquid Foundation,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77169E+11,,18,25,9.80 - 14.00,210
ForMin Mascara,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.77161E+11,,1,20,8.35,8.35
ForMin Mineral Mist Large,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.62386E+11,,2,22,14,28
ForMin Mineral Mist SMALL,,Watertown,Wholesale,"Forever Minerals Makeup, PHF Collective Wellness",1.99204E+11,,4,12,7,28
Fresh Shoes Cedarwood,,Watertown,Wholesale,"Delete When Gone, PHF Collective Wellness",280141385,,2,6.75,,
Frutina Apple and Apricot,,PHF Lake Geneva,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,21,1.99,0.57,11.97
Frutina Apple and Apricot,,Watertown,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,17,1.99,0.57,9.69
Frutina Apple and Mango,,PHF Lake Geneva,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,14,1.99,0.57,7.98
Frutina Apple and Mango,,Watertown,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,10,1.99,0.57,5.7
Frutina Apple and Raspberry,,PHF Lake Geneva,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,21,1.99,0.57,11.97
Frutina Apple and Raspberry,,Watertown,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,15,1.99,0.57,8.55
Frutina Apple and Strawberry,,PHF Lake Geneva,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,17,1.99,0.57,9.69
Frutina Apple and Strawberry,,Watertown,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,10,1.99,0.57,5.7
Frutina Apple and Wildberry,,PHF Lake Geneva,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,18,1.99,0.57,10.26
Frutina Apple and Wildberry,,Watertown,Wholesale,"Frutina, Faire, PHF Collective Wellness",9.31233E+12,,13,1.99,0.57,7.41
FS Acetylcholine Brain Food (Natural Stacks),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",6.7387E+11,,5,40.99,22,110
FS Acetylcholine Brain Food (Natural Stacks),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.7387E+11,,7,40.99,22,154
FS Acid Block Rx Vitamins,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",008429040157,,2,29.99,13.49,26.98
FS Adaptopath (Energetix),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,3,32.99,16,48
FS Adrenal 100 Cortex (Professional Botanicals),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.98175E+11,,2,50.99,29.4,58.8
FS Alaskan Cod Liver Oil Jigsaw,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.76634E+11,,2,60.99,37.97,75.94
FS Alfa-Max Natures Way,,Watertown,Supplements Misc.,"Full Script, Delete When Gone, PHF Collective Wellness",033674101001,,6,14.99,6.8,40.8
FS Aloe Gorgeous Ora,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.5672E+11,,3,40.99,22.19 - 23.99,68.37
FS Aloe Vera Liquid Natures Way,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",033674142806,,2,19.99,9.5,19
FS Aloe Vera Liquid Natures Way,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",033674142806,,6,19.99,9.5,57
FS Aloe Vera Liquid Wild Berry Natures Way,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",033674142820,,2,19.99,9.5,19
FS Alpha Lipoic Acid 600mg (Protocol for Life Balance),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.07359E+11,,2,29.99,14,28
FS Alpha Lipoic Acid 600mg (Protocol for Life Balance),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.07359E+11,,4,29.99,14,56
FS Amla (natural Vitamin C) Organic India,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.51469E+11,,3,23.99,14.17,42.51
FS Ancient Glandulars Organs Blend (Ancient Nutrition),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.16401E+11,,3,50.99,29.97,89.91
FS Ascorbic Acid Powder PE,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.66298E+11,,2,31.99,15.7,31.4
FS Ascorbic Acid Thorne Capsules,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.93749E+11,,2,19.99,9.53,19.06
FS B-1 100 mg Thiamin (Source Naturals),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",021078004073,,3,11.99,5.55,16.65
FS Bach Hope & Joy Comfort Kit,,PHF Lake Geneva,Wholesale,"Full Script, PHF Collective Wellness",7.41273E+11,,1,35.99,20.39,20.39
FS Bach Hope & Joy Comfort Kit,,Watertown,Wholesale,"Full Script, PHF Collective Wellness",7.41273E+11,,5,35.99,20.39,101.95
FS Bach Rescue Remedy (10ml),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.41273E+11,,10,17.99,10.19,101.9
FS Bach Rescue Remedy (10ml),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.41273E+11,,12,17.99,10.19,122.28
FS B Complex Plus (Seeking Health),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.10008E+11,,2,31.99,16.4,32.8
FS Beekeepers Kids Throat Soothing Pops,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.34706E+11,,4,11.99,6.59,26.36
FS Beekeepers Kids Throat Soothing Pops,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.34706E+11,,18,11.99,6.59,118.62
FS Beekeeper Soothing Lozenges Honey,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",6.28055E+11,,6,9.99,5.39,32.34
FS Beekeeper Soothing Lozenges Honey,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.28055E+11,,11,9.99,5.39,59.29
FS Beekeepers Propolis Immune Support,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",6.28055E+11,,2,14.99,8.39,16.78
FS Beekeepers Propolis Immune Support,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.28055E+11,,1,14.99,8.39,8.39
FS Beekeepers Soothing Lozenge Elderberry,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",6.28055E+11,,2,9.99,5.39,10.78
FS Beekeepers Soothing Lozenge Elderberry,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.28055E+11,,6,9.99,5.39,32.34
FS Beekeepers Soothing Lozenges Peppermint Eucalyptus,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.34706E+11,,6,9.99,5.39,32.34
FS Beekeepers Soothing Lozenges Peppermint Eucalyptus,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.34706E+11,,8,9.99,5.39,43.12
FS Beekeepers SuperFood Honey,,Watertown,Supplements Misc.,"Full Script, Delete When Gone, PHF Collective Wellness",6.28055E+11,,1,39.99,24,24
FS Berberine Metagenics,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.55572E+11,,2,45.99,23.5,47
FS Berberine Metagenics,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.55572E+11,,3,45.99,23.5,70.5
FS Betaine HCI,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.79452E+11,,1,35.99,16.49,16.49
FS Bioactive Silver Hydrosol by Sovereign Silver 4oz (118mL),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.84088E+11,,2,25.99,13.32,26.64
FS Bio-Active Silver Hydrosol Immune Pets Dropper 4oz,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",6.84088E+11,,1,24.99,13.43,13.43
FS Bio-Active Silver Hydrosol Immune Pets Dropper 4oz,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.84088E+11,,2,24.99,13.43,26.86
FS Bio-Active Silver Hydrosol Immune Pets Fine Mist Spray 2oz,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",6.84088E+11,,3,15.99,8.38,25.14
FS Bio-Active Silver Hydrosol Immune Pets Fine Mist Spray 2oz,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.84088E+11,,4,15.99,8.38,33.52
FS Biocidin broad-spectrum liquid formula,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.9987E+11,,3,63.99,38.45,115.35
FS Black Cohosh (Herb Pharm),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",090700000110,,2,18.99,8.99,17.98
FS Black Seed Oil Capsules Gaia Herbs,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.51063E+11,,2,34.99,16.97,33.94
FS Black Seed Oil Capsules Gaia Herbs,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.51063E+11,,10,34.99,16.97,169.7
FS Bromelain,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.07359E+11,,4,29.99,,
FS Calm Five,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,6,32.99,16,96
FS CALM Magnesium Gummies Orange Natural Vitality,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",1.83405E+11,,3,31.99,16.55,49.65
FS CALM Magnesium Gummies Orange Natural Vitality,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",1.83405E+11,,7,31.99,16.55,115.85
FS CALM  Magnesium Gummies Raspberry Lemon Natural Vitality,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.75534E+11,,3,31.99,16.55,49.65
FS CALM  Magnesium Gummies Raspberry Lemon Natural Vitality,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.75534E+11,,9,31.99,16.55,148.95
FS Cell Salt Combination Professional Formulas,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.40651E+11,,2,18.99,9,18
FS Cell Salt Combination Professional Formulas,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.40651E+11,,4,18.99,9,36
FS Ceralin Forte (Metagenics),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.55572E+11,,2,72.99,40.75,81.5
FS Chanca Piedra Stone Breaker NutraMedix,,PHF Lake Geneva,Supplements Misc.,"Full Script, Delete When Gone, PHF Collective Wellness",7.2865E+11,,1,23.99,14.4,14.4
FS Chanca Piedra Stone Breaker NutraMedix,,Watertown,Supplements Misc.,"Full Script, Delete When Gone, PHF Collective Wellness",7.2865E+11,,3,23.99,14.4,43.2
FS Chlorophyll Liquid Drops Code Age,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.50026E+11,,2,23.99,13.79,27.58
FS Choline SR,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.29135E+11,,2,14.99,7.15,14.3
FS Circulopath Energetix,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,1,32.99,16,16
FS Cleanse More (Renew Life),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",6.31258E+11,,4,22.99,12.59,50.36
FS Clearing (Health Concerns),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.10034E+11,,3,30.99,14.95,44.85
FS Coconut Oil Jarrow,,Watertown,Supplements Misc.,"Full Script, Delete When Gone, PHF Collective Wellness",7.90011E+11,,1,15.99,8.08,8.08
FS Complete Omega Junior (Nordic Naturals),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.6899E+11,,2,37.99,22.17,44.34
FS Complete Omega Junior (Nordic Naturals),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.6899E+11,,1,37.99,22.17,22.17
FS Core Cats Claw,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,2,34.99,16,32
FS Core Cats Claw,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,3,34.99,16,48
FS Core Dandi Blend (Energetix),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,1,32.99,16,16
FS Core Dandi Blend (Energetix),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,3,32.99,16,48
FS Crave Arrest,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.79452E+11,,2,69.99,31.99,63.98
FS Dandelion (Herb Pharm),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",90700000462,,1,17.99,8.99,8.99
FS Dentalcidin Liposomal Oral Care (Biocidin Botanicals) 1oz,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.9987E+11,,2,45.99,26.99,53.98
FS Dentalcidin Toothpaste (Biocidin Botanicals) 3oz,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.9987E+11,,4,29.99,18.95,75.8
FS Dentalcidin Toothpaste (Biocidin Botanicals) 3oz,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.9987E+11,,6,29.99,18.95,113.7
FS Designs for Health Periobiotic Silver Toothpaste,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.79452E+11,,2,14.99,9.25,18.5
FS DHEA 5mg (Designs for Health),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.79452E+11,,2,32.99,14.6,29.2
FS Digestion GB (Pure Encapsulation) 90ct,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.66298E+11,,7,35.99,17.5,122.5
FS Digestive Enzyme Chewable (PE),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.66298E+11,,2,29.99,14.9,29.8
FS Digestive Enzyme Chewable (PE),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.66298E+11,,1,29.99,14.9,14.9
FS Digestive Enzymes Liquescence,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.40651E+11,,2,24.99,12,24
FS Distress Mood Sadness (Newton Lab Inc),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.88199E+11,,1,26.99,13,13
FS Distress Mood Sadness (Newton Lab Inc),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.88199E+11,,2,26.99,13,26
FS Drainage Tone,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,3,32.99,16,48
FS Drainage Tone,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,3,32.99,16,48
FS Echinacea Goldenseal Gaia PRO,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.51063E+11,,1,35.99,17.54,17.54
FS Echinacea Goldenseal Gaia PRO,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.51063E+11,,2,35.99,17.54,35.08
FS Electrolyte Supreme JigSaw FRUIT PUNCH BAG,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.76634E+11,,1,59.99,34.78,34.78
FS Electrolyte Supreme JigSaw Jar BERRY,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.76634E+11,,1,49.99,28.98,28.98
FS Electrolyte Supreme JigSaw Jar FRUIT PUNCH,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.76634E+11,,2,49.99,None - 28.98,28.98
FS Electrolyte Supreme Jigsaw Lemon Bag,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.76634E+11,,1,59.99,,
FS E-Lyte Body Bio 16oz (473mL),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.43474E+11,,3,31.99,17.04,51.12
FS E-Lyte Body Bio 4oz (118mL),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.43474E+11,,3,11.99,5.49,16.47
FS Endocrinpath (Energetix),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,1,32.99,16,16
FS Epstein Barr Drops,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.40651E+11,,1,21.99,10.5,10.5
FS Epstein Barr Drops,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.40651E+11,,2,21.99,9.75 - 10.50,20.25
FS Eyes Vitamins Codeage,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,3,40.99,23.99,71.97
FS Fermented Digestive Enzymes (Codeage),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,3,30.99,17.99,53.97
FS Fermented Digestive Enzymes (Codeage),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,7,30.99,17.99,125.93
FS Flashes No More (ARG),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.13948E+11,,2,62.99,31,62
FS Folinic Acid,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.10008E+11,,3,21.99,10.9,32.7
FS Folinic Acid,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.10008E+11,,1,21.99,10.9,10.9
FS Forskolin Turmeric (Codeage),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,9,34.99,19.79,178.11
FS GB6 Health Concerns,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.10034E+11,,2,29.99,14.95,29.9
FS GB Tone,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,1,32.99,16,16
FS GB Tone,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,2,32.99,16,32
FS Ginkgo: Circulation Support GAIA Pro,,Watertown,Supplements Misc.,"Full Script, Out of Stock, PHF Collective Wellness",7.51063E+11,,1,41.99,20.5,20.5
FS GLP-1 Collagen Peptides (Codeage),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.5005E+11,,2,68.99,40.79,81.58
FS GLP-1 Collagen Peptides (Codeage),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.5005E+11,,2,68.99,40.79,81.58
FS GLP-1 Probiotic Pendulum,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.50043E+11,,5,65.99,39,195
FS GLP-1 Probiotic Pendulum,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.50043E+11,,6,65.99,39,234
FS GLP-Advantage (Codeage),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.5005E+11,,3,41.99,23.99,71.97
FS GLP-Advantage (Codeage),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.5005E+11,,3,41.99,23.99,71.97
FS Goldenseal Extract,,Watertown,Supplements Misc.,"Full Script, Delete When Gone, PHF Collective Wellness",6.67056E+11,,2,41.99,19.55,39.1
FS Gut Health Formula (Codeage),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,2,40.99,23.99,47.98
FS Hair Vitamins (Codeage),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,3,40.99,23.99,71.97
FS Happy Immune DNA Pet,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,2,32.99,19.79,39.58
FS Happy Immune DNA Pet,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.53919E+11,,5,32.99,17.99 - 19.79,97.15
FS Headache migraine Newton,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.88199E+11,,2,26.99,13,26
FS Headache migraine Newton,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.88199E+11,,4,26.99,13,52
FS Himalaya Kids Orange Toothpaste,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",6.05069E+11,,1,6.99,3.59,3.59
FS Histamine Digest (Seeking Health),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.10008E+11,,2,40.99,26.55,53.1
FS Horse Chestnut,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.08118E+11,,1,21.99,11.45,11.45
FS Horse Chestnut,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.08118E+11,,3,21.99,11.45,34.35
FS Hydrolyzed Collagen (Douglas Lab),,Watertown,Supplements Misc.,"Full Script, Delete When Gone, PHF Collective Wellness",3.1054E+11,,1,53.99,26.5,26.5
FS Hydroxo B12 with Folinic Acid,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.10008E+11,,6,26.99,,
FS Inflamma Tone,,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,3,32.99,16,48
FS Inflamma Tone,,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",3.64578E+11,,2,32.99,16,32
FS Inositol (PE),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",7.66298E+11,,2,51.99,25.1,50.2
FS Inositol (PE),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",7.66298E+11,,2,51.99,25.1,50.2
FS InstantFood Five a Day (Codeage),,PHF Lake Geneva,Supplements Misc.,"Full Script, PHF Collective Wellness",8.50026E+11,,4,30.99,17.99,71.96
FS InstantFood Five a Day (Codeage),,Watertown,Supplements Misc.,"Full Script, PHF Collective Wellness",8.50026E+11,,3,30.99,17.99,53.97
